"","day","temp","dewp","num_collisions"
"181",2,77.5,70.8,-1.70099294746345
"182",3,74.2,71,0.95756261219385
"183",4,75.6,71.7,0.552449384055595
"184",5,76,71.4,0.982882188952491
"185",6,79.5,72.8,-1.51109612177364
"186",7,82.3,70.7,0.235954674572583
"187",1,84.6,70.1,-0.523632628186645
"188",2,85.6,70.7,-1.04268395173878
"189",3,81.3,65.8,0.755005998124722
"190",4,78.8,67.2,0.324573193227827
"191",5,79.4,70.5,0.717026632986761
"192",6,80.6,68.7,-0.0931998232897489
"193",7,75,62.6,0.527129807296954
"194",1,72.2,68.9,0.223294886193263
"195",2,80.3,71.5,-1.09332310525607
"196",3,85.3,69.7,0.299253616469186
"197",4,85.9,66.3,0.311913404848506
"198",5,86.7,66.3,0.653727691090159
"199",6,88.2,68.6,0.995541977331811
"200",7,89.1,72.1,1.76778906847036
"201",1,86.7,70.1,-0.0805400349104284
"202",2,82.3,63.7,-1.39715802635976
"203",3,78.2,70,0.42585150026239
"204",4,78.7,71.4,0.172655732675981
"205",5,78.5,64.5,0.172655732675981
"206",6,67.3,52.3,-0.637570723600529
"207",7,72.2,57.5,0.755005998124722
"208",1,75.2,61.2,-0.523632628186645
"209",2,73.3,65.2,-0.916086067945579
"210",3,75.1,64.9,0.501810230538313
"211",4,74.4,53.3,0.337232981607147
"212",5,74.1,56.3,-0.0552204581517875
"213",6,71.5,62.8,1.08416049598705
"214",7,73.6,62.9,0.868944093538607
"215",1,73.4,60,-0.827467549290336
"216",2,73.2,56,-1.30853950770451
"217",3,70.2,47,-0.156498765186351
"218",4,72.1,52.5,-0.181818341944992
"219",5,73.4,60.5,-0.624910935221209
"220",6,73.8,69.3,-0.105859611669069
"221",7,77,71.9,0.273934039710545
"222",1,77.2,62.8,-0.789488184152375
"223",2,73.5,53,-0.966725221462861
"224",3,74.5,64.2,-0.485653263048683
"225",4,73.2,67.2,-0.0552204581517875
"226",5,68.3,52.3,0.818304940021325
"227",6,68.6,47.5,0.527129807296954
"228",7,70.9,51.5,1.52725308926327
"229",1,72.6,53.5,-0.67555008873849
"230",2,72.1,54.6,-1.46045696825636
"231",3,72.1,58.2,-1.20726120066995
"232",4,76.6,61.9,-0.194478130324313
"233",5,80.1,61.4,0.0587176372620967
"234",6,75.6,68.8,0.261274251331224
"235",7,75.5,60.8,0.995541977331811
"236",1,72,49.8,-0.38437495601412
"237",2,72.8,53.9,-1.24524056580791
"238",3,74.5,56.8,-0.460333686290042
"239",4,77.8,66.1,-0.637570723600529
"240",5,76.4,68,-0.954065433083541
"241",6,73.8,67.5,0.185315521055301
"242",7,75.1,64.3,0.527129807296954
"243",1,78.3,68.8,-0.979385009842182
"244",2,78.9,70.1,-0.979385009842182
"245",3,76.9,71.8,-1.59971464042888
"246",4,75.7,64.8,-0.0805400349104284
"247",5,72.7,54,0.590428749193556
"248",6,73,51.4,-0.814807760911016
"249",7,64.7,39.9,-0.409694532772761
"250",1,67.8,45.9,0.349892769986468
"251",2,73.7,52.8,-0.726189242255772
"252",3,65.3,45.6,0.94490282381453
"253",4,74.9,63.7,0.906923458676568
"254",5,84.4,70.9,0.235954674572583
"255",6,80,69.8,1.74246949171172
"256",7,70.1,61.5,1.19809859140094
"257",1,60.3,44.5,-0.485653263048683
"258",2,60.4,43.3,-1.03002416335946
"259",3,65.2,51.7,0.15999594429666
"260",4,57.8,38.3,0.881603881917927
"261",5,60,41.9,0.172655732675981
"262",6,64.3,47.4,-0.270436860600235
"263",7,67.6,53.9,0.932243035435209
"264",1,67.7,59.5,-0.143838976807031
"265",2,65.3,53.6,0.349892769986468
"266",3,57.5,39.8,1.31203668681482
"267",4,58.4,40.3,0.729686421366082
"268",5,62.5,43.4,-0.232457495462274
"269",6,63,52.3,-0.523632628186645
"270",7,61.8,50.8,-0.0552204581517875
"271",1,64.1,49.4,-0.13117918842771
"272",2,63.7,52.2,-0.650230511979849
"273",3,63.1,50.7,0.603088537572877
"274",4,68.2,52.1,0.742346209745402
"275",5,72.7,55.9,1.13479964950434
"276",6,71.7,54.7,0.41319171188307
"277",7,73.5,59.7,1.27405732167686
"278",1,69.5,61.5,-0.764168607393734
"279",2,67.2,63.1,-1.94152892667054
"280",3,69.6,64.7,0.767665786504043
"281",4,60.8,43.9,0.210635097813942
"282",5,58.3,42.3,-0.359055379255479
"283",6,58.4,48.4,0.0207382721241353
"284",7,63.3,54.4,0.805645151642004
"285",1,65.2,45.7,-0.0172410930138261
"286",2,60.3,49.4,-0.700869665497131
"287",3,58.2,46.2,-1.485776545015
"288",4,60,49.6,0.729686421366082
"289",5,60.6,51.9,-0.11851940004839
"290",6,65.3,58.1,0.210635097813942
"291",7,63.5,47.6,1.55257266602191
"292",1,58.3,42,-1.09332310525607
"293",2,57.4,39.6,-0.852787126048977
"294",3,57.4,35.5,0.742346209745402
"295",4,59.5,44.8,-0.219797707082954
"296",5,51.8,35.1,0.00807848374481486
"297",6,47.4,29.5,0.94490282381453
"298",7,46.3,27.4,1.13479964950434
"299",1,47.9,29,0.868944093538607
"300",2,52.1,28.9,-0.574271781703927
"301",3,51.5,29.6,0.792985363262684
"302",4,50.2,30,0.539789595676274
"303",5,52.8,39,0.00807848374481486
"304",6,59.7,52.7,0.729686421366082
"305",7,66.2,56.7,1.93236631740153
"306",1,61.3,46.6,-0.0805400349104284
"307",2,49.6,32.9,-1.80227125449801
"308",3,39.4,15.9,1.27405732167686
"309",4,46.8,30.4,-0.599591358462568
"310",5,54.4,42.1,0.982882188952491
"311",6,57.8,51,1.12213986112502
"312",7,45,26.7,1.57789224278055
"313",1,43.7,24.2,0.172655732675981
"314",2,49.6,31.1,-1.0553437401181
"315",3,48.2,25,-1.28321993094587
"316",4,42.8,24.9,1.13479964950434
"317",5,33.1,12.9,0.451171077021031
"318",6,40.7,15.2,0.792985363262684
"319",7,50,20.2,0.755005998124722
"320",1,52.3,35.5,0.69170705622812
"321",2,54.6,49.8,-0.321076014117517
"322",3,60.4,45.5,0.6790472678488
"323",4,47.1,23.1,0.539789595676274
"324",5,37.5,16,0.628408114331518
"325",6,42.1,24.8,0.894263670297248
"326",7,52.8,43.7,1.83108801036696
"327",1,46.3,27.8,-0.270436860600235
"328",2,27.6,4.8,-0.802147972531695
"329",3,27.5,6.8,1.93236631740153
"331",5,48.5,44.4,2.33747954553978
"332",6,33.2,13.3,-1.62503421718753
"333",7,33.7,13.8,-1.52375591015296
"334",1,31.2,14.3,-0.992044798221502
"335",2,41.3,28.2,-1.73897231260141
"336",3,45.1,32.4,-0.105859611669069
"337",4,44.8,34.3,-0.0552204581517875
"338",5,45.7,34.7,-0.472993474669363
"339",6,52.8,47,0.197975309434622
"340",7,52.4,48.3,2.55269594798823
"341",1,38.2,29.1,0.122016579158699
"342",2,31.6,15.6,-1.28321993094587
"343",3,34.6,31.2,1.03352134246977
"344",4,35.7,30.2,-0.232457495462274
"345",5,30.1,14.1,0.603088537572877
"346",6,26.8,8,1.14745943788366
"347",7,27.8,7.7,1.74246949171172
"348",1,28.2,17.5,1.67917054981512
"349",2,33.1,27.5,-1.3591786612218
"350",3,30.3,12.7,1.04618113084909
"351",4,27.3,16,1.84374779874628
"352",5,28.9,18.3,1.81842822198764
"353",6,36.5,20.7,0.628408114331518
"354",7,46.8,28.4,1.47661393574599
"355",1,55.4,44.4,0.463830865400352
"356",2,65.5,55.4,-0.66289030035917
"357",3,59.8,54,1.89438695226356
"358",4,38.8,23.9,-0.536292416565965
"360",6,31.9,18.7,-1.63769400556685
"361",7,35.2,18.7,-1.03002416335946
"362",1,43,22,-1.04268395173878
"363",2,45.9,30.4,-2.06812681046374
"364",3,39.8,29.2,-1.03002416335946
"365",4,26,10.4,-1.16928183553199
"366",5,28.2,10.7,-2.01189843563375
"367",6,28.5,19.6,0.470510693033984
"368",7,15.6,6.7,-1.71985030284931
"369",1,15.8,-1.4,-1.78069366384607
"371",3,45.6,39.8,-0.563826443910905
"372",4,12.3,-8,-0.892380593293399
"373",5,12.9,-5.1,0.628703431625556
"374",6,25.3,5.4,-0.0405735393387846
"375",7,32.3,22.6,1.24930571379249
"376",1,47.7,45.2,-1.20876607047654
"377",2,47.6,33.8,-2.14575382982662
"378",3,42.7,29.3,0.0446071660566769
"379",4,48.3,40,-0.0649108837374879
"380",5,42.6,37.5,0.227137249046951
"381",6,39.4,32.7,-0.52732042731285
"382",7,37.8,23.5,0.300149282243061
"383",1,37.6,26.9,-1.41563349786552
"384",2,29.1,16,-2.24310320742143
"385",3,39,21.1,-2.48647665140846
"387",5,12.3,0,-0.807199887897938
"388",6,13.1,-2.3,0.580028742828149
"389",7,14.7,-3.6,1.71171525736785
"390",1,21.8,6.6,-1.08707934848303
"391",2,21.4,5.3,-1.20876607047654
"392",3,34.8,17.4,-0.649007149306366
"393",4,17.8,-7.2,-0.734187854701828
"394",5,17.4,-2.4,1.03026961420416
"395",6,21.2,0.2,1.12761899179897
"396",7,30.7,9.9,-0.0527422115381362
"397",1,39.1,17.2,-0.697681838103773
"398",2,45.1,34.2,-1.79286233604542
"400",4,28.3,20.9,0.592197415027501
"401",5,31.8,27.5,-1.17226005387849
"402",6,27.3,18.7,0.0567758382560285
"403",7,27.6,13.5,1.3466550913873
"404",1,25.9,5,-1.70768163064996
"405",2,25.5,8.3,-1.39129615346682
"406",3,25.1,12.4,1.38316110798536
"407",4,21.7,4.1,0.872076875612588
"408",5,18.9,2.7,0.920751564409995
"409",6,29.9,24.8,-1.42780217006487
"410",7,35.5,26.4,2.77038973871144
"411",1,35.6,23.9,-0.588163788309608
"412",2,26.6,11.6,-1.22093474267589
"413",3,23.7,3.1,-0.892380593293399
"414",4,32,18.5,-0.563826443910905
"415",5,38.4,28.2,-0.150091589132949
"416",6,42.8,26.6,-0.101416900335543
"417",7,39.4,36.3,-0.235272294528411
"418",1,46,25.8,0.275811937844358
"419",2,48.6,26,-1.82936835264348
"420",3,39.1,17,0.0567758382560285
"421",4,28.2,9,-0.624669804907663
"422",5,27.4,9.3,-0.649007149306366
"423",6,24.6,1.3,0.0811131826547318
"424",7,16.5,-8,1.10328164740027
"425",1,27.2,5.8,-0.81936856009729
"427",3,25.3,7.2,-1.51298287546033
"428",4,20.1,-0.1,-0.393465033119982
"429",5,31.3,6,-0.892380593293399
"430",6,24.5,4.1,-0.0770795559368395
"431",7,30.2,17.9,-0.381296360920631
"432",1,42.8,26.9,-0.60033246050896
"433",2,41.4,18.9,-1.95105507463699
"434",3,42.3,18.9,-0.624669804907663
"435",4,53.6,30.9,-0.661175821505718
"436",5,52.5,38.4,-0.60033246050896
"437",6,28.7,11.7,-0.235272294528411
"438",7,30.5,5.2,0.251474593445655
"439",1,49.9,24.2,-0.551657771711553
"440",2,37,10.4,-1.85370569704218
"441",3,28.9,2.5,-0.551657771711553
"442",4,33.9,7.3,-0.162260261332301
"443",5,36.9,27.1,-0.478645738515444
"444",6,45.6,34.5,0.762558825818424
"445",7,44.1,18.4,0.300149282243061
"446",1,49.9,25.2,-0.868043248894696
"447",2,40.9,17.7,-1.6711756140519
"448",3,28,2.8,-0.210934950129708
"449",4,32.4,7.4,-1.09924802068238
"450",5,33.1,9.4,-0.0162361949400813
"451",6,30.5,6.5,-0.320452999923872
"452",7,48,33.7,-0.417802377518685
"453",1,50.7,42.9,0.0567758382560285
"454",2,45.3,41.9,-1.54948889205839
"455",3,43.5,32.6,-0.0649108837374879
"456",4,46.8,26.9,-0.186597605731004
"457",5,47.3,35.6,-0.551657771711553
"458",6,53.6,30.8,0.336655298841116
"459",7,44.4,35.3,0.701715464821665
"460",1,45.8,32.8,0.190631232448897
"461",2,45.3,19.9,-0.977561298688861
"462",3,47.2,31.4,-0.381296360920631
"463",4,52.6,44.1,0.507016709632039
"464",5,52.2,28.7,0.373161315439171
"465",6,50.5,19.3,0.981594925406753
"466",7,62.1,37.1,0.543522726230094
"467",1,60.4,39.7,0.166293888050193
"468",2,63,42.1,-1.00189864308756
"469",3,67.3,52.2,-0.612501132708312
"470",4,58.5,53.5,-1.36695880906811
"471",5,38.8,22,0.0689445104553802
"472",6,41.6,21.3,-0.685513165904421
"473",7,41.4,28.1,-0.831537232296641
"474",1,52.6,28.3,-0.478645738515444
"475",2,52.1,26.1,-2.08491046882986
"476",3,52,27.4,-0.52732042731285
"477",4,59,44.3,-1.28177810367265
"478",5,55.7,38.4,-0.344790344322576
"479",6,50.5,18.2,0.263643265645006
"480",7,52.6,19.4,0.640872103824907
"481",1,53,42,-0.198766277930356
"482",2,51.9,34.6,-1.40346482566617
"483",3,54.5,32.5,0.397498659837874
"484",4,49.7,36.8,-0.113585572534894
"485",5,44.2,40.6,1.05460695860286
"486",6,61.1,52.4,1.04243828640351
"487",7,63.4,41.8,1.62653455197239
"488",1,61.3,36.6,0.312317954442413
"489",2,57.6,41,-1.37912748126746
"490",3,58.4,29.7,0.653040776024259
"491",4,60.3,28,0.00810114945862195
"492",5,59.1,28.5,0.470510693033984
"493",6,55.9,48.7,0.385329987638523
"494",7,58,54.6,0.239305921246303
"495",1,65.6,60.2,-0.186597605731004
"496",2,70.1,46.3,0.239305921246303
"497",3,73.8,49.3,0.202799904648248
"498",4,68.5,49.5,-0.0527422115381362
"499",5,58.2,47.3,0.896414220011292
"500",6,63.1,59.5,1.15195633619768
"501",7,65.9,62.8,1.65087189637109
"502",1,61.6,48.2,0.66520944822361
"503",2,60,36.4,-0.697681838103773
"504",3,60.3,32.4,0.0932818548540834
"505",4,66.2,36.9,1.04243828640351
"506",5,69.5,45.3,0.129787871452138
"507",6,62.7,56.3,0.348823971040468
"508",7,62.2,56.5,1.16412500839703
"509",1,60.2,54.1,-0.953223954290157
