"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","num_collisions","slp","visib","wdsp","gust","prcp","sndp","fog"
"121",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,53.9,49.2,173,1018.1,7.5,7.7,31.1,0.13,999.9,0
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,57.6,53.5,186,1005.6,6.4,4.5,29.9,0.68,999.9,0
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,62.3,38.6,189,1012.1,10,5.5,15.9,0.12,999.9,0
"124",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,66.8,46.6,167,1008.8,9.9,4.6,15.9,0.04,999.9,0
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,65.6,41.2,174,1004.8,10,5.1,32.1,0,999.9,0
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,53.2,24.2,174,1012.2,10,6.5,21,0,999.9,0
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,50.5,37,184,1010.8,9.5,5.3,17.1,0,999.9,0
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,54.1,31.2,175,1007.7,10,4.1,20,0.06,999.9,0
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,51,32.3,177,1008.9,8.8,3.9,19,0,999.9,0
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,40.4,24.4,148,1008.8,8.8,7.4,31.1,0.48,999.9,0
"131",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,49.4,23.8,163,1017.3,10,6.4,25.1,0.03,999.9,0
