dateof,year,month,latitude,longitude
2013-06-03,2013,6,40.7472061,-73.9970984
2013-06-03,2013,6,40.665837,-73.9425282
2013-06-03,2013,6,40.7639984,-73.9960038
2013-06-03,2013,6,40.59587,-73.9637037
2013-06-03,2013,6,40.7489827,-73.939681
2013-06-03,2013,6,40.7954056,-73.9418746
2013-06-03,2013,6,40.7342733,-73.8625956
2013-06-03,2013,6,40.6768941,-73.9000457
2013-06-03,2013,6,40.7955388,-73.9772278
2013-06-03,2013,6,40.7336333,-74.0027856
2013-06-03,2013,6,40.7542804,-73.8975005
2013-06-03,2013,6,40.7615508,-73.9665842
2013-06-03,2013,6,40.7576718,-73.9948239
2013-06-03,2013,6,40.6447584,-74.0997151
2013-06-03,2013,6,40.5825522,-73.827659
2013-06-03,2013,6,40.702239,-73.7576813
2013-06-03,2013,6,40.7694342,-73.9121632
2013-06-03,2013,6,40.8726198,-73.9046763
2013-06-03,2013,6,40.613686,-74.1426813
2013-06-03,2013,6,40.7495516,-73.8861679
2013-06-03,2013,6,40.7453835,-73.9947093
2013-06-03,2013,6,40.7577479,-73.9714518
2013-06-03,2013,6,40.6715871,-73.9984241
2013-06-03,2013,6,40.6556338,-73.9598617
2013-06-03,2013,6,40.7433983,-73.883876
2013-06-03,2013,6,40.7445767,-73.8258072
2013-06-03,2013,6,40.6341771,-73.9448793
2013-06-03,2013,6,40.6765536,-73.8626532
2013-06-03,2013,6,40.785805,-73.9428471
2013-06-03,2013,6,40.6784553,-73.9496774
2013-06-03,2013,6,40.6433579,-74.0013801
2013-06-03,2013,6,40.7127234,-74.0096671
2013-06-03,2013,6,40.7278664,-73.9931449
2013-06-03,2013,6,40.5879404,-73.9743363
2013-06-03,2013,6,40.678278,-73.9107549
2013-06-03,2013,6,40.6875062,-73.9146441
2013-06-03,2013,6,40.6668946,-73.8054526
2013-06-03,2013,6,40.7578241,-73.8609985
2013-06-03,2013,6,40.7428535,-73.977207
2013-06-03,2013,6,40.847241,-73.8908657
2013-06-03,2013,6,40.7140618,-73.9529114
2013-06-03,2013,6,40.7518488,-73.8522621
2013-06-03,2013,6,40.8378034,-73.9421411
2013-06-03,2013,6,40.6605938,-73.9313269
2013-06-03,2013,6,40.7220121,-73.8534755
2013-06-03,2013,6,40.8498406,-73.9349665
2013-06-03,2013,6,40.7326034,-73.9876815
2013-06-03,2013,6,40.650493,-73.8979771
2013-06-03,2013,6,40.7056648,-73.8650711
2013-06-03,2013,6,40.8285114,-73.8801104
2013-06-03,2013,6,40.5880683,-73.9534179
2013-06-03,2013,6,40.6339318,-73.9487742
2013-06-03,2013,6,40.7616096,-73.9707499
2013-06-03,2013,6,40.8859908,-73.827914
2013-06-03,2013,6,40.7325126,-73.8570498
2013-06-03,2013,6,40.6040288,-73.952294
2013-06-03,2013,6,40.788269,-73.8161267
2013-06-03,2013,6,40.7596849,-73.8211653
2013-06-03,2013,6,40.744559,-73.9831755
2013-06-03,2013,6,40.7597284,-73.8454909
2013-06-03,2013,6,40.7925479,-73.9410356
2013-06-03,2013,6,40.7413566,-73.989127
2013-06-03,2013,6,40.7241163,-73.7967532
2013-06-03,2013,6,40.6779397,-73.9656599
2013-06-03,2013,6,40.6229635,-74.0118335
2013-06-03,2013,6,40.7177239,-73.9857652
2013-06-03,2013,6,40.8330504,-73.9059182
2013-06-03,2013,6,40.7827364,-73.9553364
2013-06-03,2013,6,40.7178702,-73.9971068
2013-06-03,2013,6,40.6896895,-73.9923627
2013-06-03,2013,6,40.7488634,-73.8927087
2013-06-03,2013,6,40.8412779,-73.8635817
2013-06-03,2013,6,40.6215864,-74.1726767
2013-06-03,2013,6,40.654629,-73.9220058
2013-06-03,2013,6,40.5917559,-73.9082902
2013-06-03,2013,6,40.5791947,-73.9543457
2013-06-03,2013,6,40.7388442,-73.8140362
2013-06-03,2013,6,40.8134887,-73.8993421
2013-06-03,2013,6,40.695417,-73.908049
2013-06-03,2013,6,40.7765625,-73.9527048
2013-06-03,2013,6,40.6022901,-74.006781
2013-06-03,2013,6,40.7024219,-73.9866917
2013-06-03,2013,6,40.7205051,-73.9968362
2013-06-03,2013,6,40.7692957,-73.9949385
2013-06-03,2013,6,40.6666035,-73.9565424
2013-06-03,2013,6,40.7095129,-73.9508767
2013-06-03,2013,6,40.6896895,-73.9923627
2013-06-03,2013,6,40.7261904,-73.9586286
2013-06-03,2013,6,40.6553345,-73.9307664
2013-06-03,2013,6,40.8465765,-73.9131496
2013-06-03,2013,6,40.6387879,-73.8849516
2013-06-03,2013,6,40.7171751,-74.0128675
2013-06-03,2013,6,40.6075249,-74.1446287
2013-06-03,2013,6,40.5644437,-74.1267543
2013-06-03,2013,6,40.752316,-73.9859454
2013-06-03,2013,6,40.5913549,-73.8005563
2013-06-03,2013,6,40.7011329,-73.8171569
2013-06-03,2013,6,40.8196829,-73.8096016
2013-06-03,2013,6,40.7489156,-73.9373965
2013-06-03,2013,6,40.8439778,-73.9138578
2013-06-03,2013,6,40.6093856,-74.0000216
2013-06-03,2013,6,40.7261676,-73.998362
2013-06-03,2013,6,40.7555563,-73.8853671
2013-06-03,2013,6,40.6487936,-73.9522692
2013-06-03,2013,6,40.7646819,-73.9642975
2013-06-03,2013,6,40.7756424,-73.9583993
2013-06-03,2013,6,40.6211651,-73.9535317
2013-06-03,2013,6,40.6240066,-74.1490183
2013-06-03,2013,6,40.7096605,-74.0048261
2013-06-03,2013,6,40.7561462,-73.8797894
2013-06-03,2013,6,40.6999089,-73.8537765
2013-06-03,2013,6,40.6710984,-73.7312479
2013-06-03,2013,6,40.7547066,-73.854786
2013-06-03,2013,6,40.6349546,-73.9814305
2013-06-03,2013,6,40.5973175,-73.7542631
2013-06-03,2013,6,40.7617894,-73.9574405
2013-06-03,2013,6,40.827776,-73.9457487
2013-06-03,2013,6,40.6517331,-73.930381
2013-06-03,2013,6,40.6451058,-74.0103204
2013-06-03,2013,6,40.820189,-73.8906752
2013-06-03,2013,6,40.8313851,-73.9068384
2013-06-03,2013,6,40.7618573,-73.9634255
2013-06-03,2013,6,40.6830976,-73.8059498
2013-06-03,2013,6,40.6973167,-73.9322699
2013-06-03,2013,6,40.7374593,-73.7410827
2013-06-03,2013,6,40.5819158,-73.8297739
2013-06-03,2013,6,40.8464867,-73.8943368
2013-06-03,2013,6,40.5834322,-73.9604775
