Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,Fri,Mon,Sat,Sun,Thu,Tue,Wed,year,temp,dewp,num_collisions,slp,visib,wdsp,gust,prcp,sndp,fog
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,55.5,35.6,455,1016.2,10.0,8.3,22.9,0.05,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,61.7,34.9,420,1022.2,10.0,3.3,18.1,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,61.1,47.1,686,1022.2,7.1,2.3,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,66.9,60.6,574,1018.3,3.2,1.6,0.0,0.52,0.0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,81.0,63.4,685,1018.5,9.0,3.8,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,83.0,63.4,736,1018.4,9.0,3.4,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,80.8,64.1,631,1015.2,9.8,3.8,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,80.1,65.9,487,1010.8,10.0,5.1,19.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,72.2,67.3,707,1009.8,6.6,3.5,22.9,1.0,0.0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,66.1,45.6,613,1015.1,9.5,3.9,15.0,0.72,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,66.0,41.7,599,1020.8,10.0,3.7,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,63.8,53.8,605,1019.7,8.7,3.7,0.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,61.5,59.4,791,1014.3,4.2,7.2,28.0,0.95,0.0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,64.9,58.9,571,1010.1,7.2,5.9,22.9,3.82,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,71.7,57.6,533,1019.6,10.0,1.7,0.0,0.48,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,67.7,62.1,624,1020.0,5.1,4.2,22.0,0.0,0.0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,69.6,63.6,635,1005.5,5.6,4.9,26.0,1.47,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,70.9,53.2,615,1007.9,9.8,6.1,24.1,0.09,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,65.7,55.6,535,1006.6,8.1,3.6,20.0,0.0,0.0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2013,59.9,53.8,693,1006.5,7.7,6.5,26.0,1.58,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2013,69.4,52.0,596,1013.6,10.0,3.5,0.0,0.06,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,72.8,53.8,477,1012.8,9.8,2.5,20.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,75.3,63.4,614,1011.3,9.1,3.7,20.0,0.0,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,72.8,63.8,613,1011.5,7.3,1.9,0.0,0.01,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,67.4,54.4,622,1016.1,8.7,5.0,15.0,0.2,0.0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,69.6,52.4,681,1023.2,10.0,3.2,0.0,0.0,0.0,0
