"","Aug","Dec","Jul","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","num_collisions","slp","visib","gust","prcp","fog"
"129",0,0,0,1,0,0,0,0,0,0,0,1,0,2012,38.7,27.2,583,1024.2,7,999.9,0,0
"130",0,0,0,1,0,0,0,0,0,0,0,1,0,2012,52.4,47.5,648,1024.6,8.8,29.9,0.06,0
"131",0,0,0,1,0,0,0,0,0,0,0,1,0,2012,36.6,17.4,514,1022,10,18.1,0.07,0
"132",0,0,0,1,0,0,0,0,0,0,0,0,1,2012,42.8,29.9,625,1031.9,9.6,28.9,0.33,0
"133",0,0,0,1,0,0,0,0,0,0,0,0,1,2012,37.5,28.8,512,1022.7,9.3,28,0.59,0
"134",0,0,0,1,0,0,0,0,0,0,0,0,1,2012,37.1,27.1,718,1014.6,7.3,55.9,0,1
"135",0,0,0,1,0,0,0,0,0,0,0,0,1,2012,46.5,32.7,689,1021.7,10,22,0,0
"136",0,0,0,1,0,0,0,0,0,0,1,0,0,2012,47.7,37.4,439,1001.8,10,23.9,0.04,0
"137",0,0,0,1,0,0,0,0,0,0,1,0,0,2012,40.4,25,623,1029.7,10,27,0,0
"138",0,0,0,1,0,0,0,0,0,0,1,0,0,2012,41.2,35.1,550,1006.4,5.1,59.1,2.45,0
"139",0,0,0,1,0,0,0,0,0,0,1,0,0,2012,47.3,36.2,384,1023.4,10,999.9,0,0
"140",0,0,0,1,0,0,0,0,0,0,1,0,0,2012,37.5,21.9,515,1025.9,9.7,22.9,0.01,0
"141",0,0,0,1,0,0,1,0,0,0,0,0,0,2012,48.2,36,345,1003.4,10,25.1,0,0
"142",0,0,0,1,0,0,1,0,0,0,0,0,0,2012,41.9,29.5,672,1026.4,9.7,999.9,0,0
"143",0,0,0,1,0,0,1,0,0,0,0,0,0,2012,41.3,25.8,576,1027.7,9.3,22.9,0,0
"144",0,0,0,1,0,0,1,0,0,0,0,0,0,2012,43.3,25.8,688,1016.1,9.8,43.9,0.17,0
"145",0,0,0,1,0,0,1,0,0,0,0,0,0,2012,48.3,40.8,481,1016.5,8.9,999.9,0,1
"146",0,0,0,1,0,0,0,0,1,0,0,0,0,2012,44.7,30.1,307,1009.4,10,25.1,0.01,0
"147",0,0,0,1,0,0,0,0,1,0,0,0,0,2012,48,35,444,1025,7.9,20,0,0
"148",0,0,0,1,0,0,0,0,1,0,0,0,0,2012,44.1,27.7,458,1006.8,9.5,30.9,0.01,1
"149",0,0,0,1,0,0,0,0,1,0,0,0,0,2012,43.6,27.9,542,1034.8,10,22,0,0
"150",0,0,0,1,0,0,0,0,0,1,0,0,0,2012,43.2,29.6,344,1014.1,10,22,0,0
"151",0,0,0,1,0,0,0,0,0,1,0,0,0,2012,54.7,45.1,526,1030.8,7,999.9,0,0
"152",0,0,0,1,0,0,0,0,0,1,0,0,0,2012,43.2,31,446,1037.2,9.8,21,0,0
"153",0,0,0,1,0,0,0,0,0,1,0,0,0,2012,36.6,17.2,415,1011.6,10,30.9,0,0
"154",0,1,0,0,0,0,0,1,0,0,0,0,0,2012,50.3,49.5,619,1011.1,2.8,26,0.35,1
